year,month,visitors,date,month_name,holiday,season_monsoon,season_summer,season_winter,festival_navratri,festival_none
2024,8,748030,2024-08-01,August,0,True,False,False,False,True
2024,9,678487,2024-09-01,September,0,False,False,False,False,True
2024,10,874657,2024-10-01,October,1,False,False,False,True,False
2024,11,677549,2024-11-01,November,1,False,False,False,False,False
2024,12,593087,2024-12-01,December,1,False,False,True,False,True
2025,1,569164,2025-01-01,January,1,False,False,True,False,True
2025,2,378865,2025-02-01,February,0,False,False,True,False,True
2025,3,940143,2025-03-01,March,0,False,True,False,True,False
2025,4,981228,2025-04-01,April,0,False,True,False,True,False
2025,5,413365,2025-05-01,May,1,False,True,False,False,True
2025,6,926263,2025-06-01,June,0,True,False,False,False,True
